[9/23/2015 8:57:24 AM] Connection to station PBAY could not be established.
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037q.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037r.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037s.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037t.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037u.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037v.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037w.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037x.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038a.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038b.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038c.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038d.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038e.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038f.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038g.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038h.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038i.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038j.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038k.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038l.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038m.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038n.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038o.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038p.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038q.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038r.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038s.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038t.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038u.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038v.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038w.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY038x.m00 varsam[8].Substring(4, 3)): 038 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039a.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039b.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039c.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039d.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039e.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039f.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039g.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
